genus,sampleID,x,y
Elgaria,CAS_214887,-119.0831294,34.8618376
Elgaria,CAS_214887,-119.0831294,34.8618376
Elgaria,CAS_214887,-119.0831294,34.8618376
Elgaria,CAS_214887,-119.0831294,34.8618376
Elgaria,CAS_214887,-119.0831294,34.8618376
Elgaria,CAS_214889,-118.4832197,35.0703054
Elgaria,CAS_214889,-118.4832197,35.0703054
Elgaria,CAS_214889,-118.4832197,35.0703054
Elgaria,CAS_214889,-118.4832197,35.0703054
Elgaria,CAS_214889,-118.4832197,35.0703054
Elgaria,CAS_214889,-118.4832197,35.0703054
Elgaria,RF_003TY1195,-118.51298,34.5466
Elgaria,RF_003TY1195,-118.51298,34.5466
Elgaria,RF_003TY1195,-118.51298,34.5466
Elgaria,RF_003TY1195,-118.51298,34.5466
Elgaria,RF_003TY1195,-118.51298,34.5466
Elgaria,RF_003TY1195,-118.51298,34.5466
Elgaria,RF_003TY1220,-118.474,33.4271
Elgaria,RF_003TY1220,-118.474,33.4271
Elgaria,RF_003TY1220,-118.474,33.4271
Elgaria,RF_003TY1220,-118.474,33.4271
Elgaria,RF_003TY1220,-118.474,33.4271
Elgaria,RF_003TY1220,-118.474,33.4271
Elgaria,RF_003TY1187,-116.23175,32.7119
Elgaria,RF_003TY1187,-116.23175,32.7119
Elgaria,RF_003TY1187,-116.23175,32.7119
Elgaria,RF_003TY1187,-116.23175,32.7119
Elgaria,RF_003TY1187,-116.23175,32.7119
Elgaria,RF_003TY1187,-116.23175,32.7119
Elgaria,MVZ_257299,-121.8663,40.45431
Elgaria,MVZ_257299,-121.8663,40.45431
Elgaria,MVZ_257299,-121.8663,40.45431
Elgaria,MVZ_257299,-121.8663,40.45431
Elgaria,MVZ_257299,-121.8663,40.45431
Elgaria,MVZ_257299,-121.8663,40.45431
Elgaria,CAS_224774,-121.1811111,40.00111111
Elgaria,CAS_224774,-121.1811111,40.00111111
Elgaria,CAS_224774,-121.1811111,40.00111111
Elgaria,CAS_224774,-121.1811111,40.00111111
Elgaria,CAS_224774,-121.1811111,40.00111111
Elgaria,CAS_224774,-121.1811111,40.00111111
Elgaria,CAS_235794,-121.4867722,39.74000722
Elgaria,CAS_235794,-121.4867722,39.74000722
Elgaria,CAS_235794,-121.4867722,39.74000722
Elgaria,CAS_235794,-121.4867722,39.74000722
Elgaria,CAS_235794,-121.4867722,39.74000722
Elgaria,CAS_235794,-121.4867722,39.74000722
Elgaria,CAS_206368,-121.3467222,39.50816667
Elgaria,CAS_206368,-121.3467222,39.50816667
Elgaria,CAS_206368,-121.3467222,39.50816667
Elgaria,CAS_206368,-121.3467222,39.50816667
Elgaria,CAS_206368,-121.3467222,39.50816667
Elgaria,CAS_206368,-121.3467222,39.50816667
Elgaria,CAS_205216,-121.0761389,39.47744444
Elgaria,CAS_205216,-121.0761389,39.47744444
Elgaria,CAS_205216,-121.0761389,39.47744444
Elgaria,CAS_205216,-121.0761389,39.47744444
Elgaria,CAS_205216,-121.0761389,39.47744444
Elgaria,CAS_205216,-121.0761389,39.47744444
Elgaria,CAS_205228,-121.2215278,39.23588889
Elgaria,CAS_205228,-121.2215278,39.23588889
Elgaria,CAS_205228,-121.2215278,39.23588889
Elgaria,CAS_205228,-121.2215278,39.23588889
Elgaria,CAS_205228,-121.2215278,39.23588889
Elgaria,CAS_205228,-121.2215278,39.23588889
Elgaria,LACM_TC_1852,-121.58382,38.92987
Elgaria,LACM_TC_1852,-121.58382,38.92987
Elgaria,LACM_TC_1852,-121.58382,38.92987
Elgaria,LACM_TC_1852,-121.58382,38.92987
Elgaria,LACM_TC_1852,-121.58382,38.92987
Elgaria,LACM_TC_1852,-121.58382,38.92987
Elgaria,HBS_134245,-121.8108,39.24815
Elgaria,HBS_134245,-121.8108,39.24815
Elgaria,HBS_134245,-121.8108,39.24815
Elgaria,HBS_134245,-121.8108,39.24815
Elgaria,HBS_134245,-121.8108,39.24815
Elgaria,HBS_134245,-121.8108,39.24815
Elgaria,HBS_134243,-121.79587,39.2351
Elgaria,HBS_134243,-121.79587,39.2351
Elgaria,HBS_134243,-121.79587,39.2351
Elgaria,HBS_134243,-121.79587,39.2351
Elgaria,HBS_134243,-121.79587,39.2351
Elgaria,HBS_134243,-121.79587,39.2351
Elgaria,CAS_209150,-122.8496111,39.20263889
Elgaria,CAS_209150,-122.8496111,39.20263889
Elgaria,CAS_209150,-122.8496111,39.20263889
Elgaria,CAS_209150,-122.8496111,39.20263889
Elgaria,CAS_209150,-122.8496111,39.20263889
Elgaria,CAS_209150,-122.8496111,39.20263889
Elgaria,CAS_212751,-122.6148333,39.29155556
Elgaria,CAS_212751,-122.6148333,39.29155556
Elgaria,CAS_212751,-122.6148333,39.29155556
Elgaria,CAS_212751,-122.6148333,39.29155556
Elgaria,CAS_212751,-122.6148333,39.29155556
Elgaria,CAS_212751,-122.6148333,39.29155556
Elgaria,CAS_201252,-123.3654167,39.61419444
Elgaria,CAS_201252,-123.3654167,39.61419444
Elgaria,CAS_201252,-123.3654167,39.61419444
Elgaria,CAS_201252,-123.3654167,39.61419444
Elgaria,CAS_201252,-123.3654167,39.61419444
Elgaria,CAS_201252,-123.3654167,39.61419444
Elgaria,MVZ_249120,-122.8243688,38.7586994
Elgaria,MVZ_249120,-122.8243688,38.7586994
Elgaria,MVZ_249120,-122.8243688,38.7586994
Elgaria,MVZ_249120,-122.8243688,38.7586994
Elgaria,MVZ_249120,-122.8243688,38.7586994
Elgaria,MVZ_249120,-122.8243688,38.7586994
Elgaria,CAS_259632,-122.5911333,38.59290556
Elgaria,CAS_259632,-122.5911333,38.59290556
Elgaria,CAS_259632,-122.5911333,38.59290556
Elgaria,CAS_259632,-122.5911333,38.59290556
Elgaria,CAS_259632,-122.5911333,38.59290556
Elgaria,CAS_259632,-122.5911333,38.59290556
Elgaria,MVZ_230950,-122.7166667,38.36666667
Elgaria,MVZ_230950,-122.7166667,38.36666667
Elgaria,MVZ_230950,-122.7166667,38.36666667
Elgaria,MVZ_230950,-122.7166667,38.36666667
Elgaria,MVZ_230950,-122.7166667,38.36666667
Elgaria,MVZ_230950,-122.7166667,38.36666667
Elgaria,MVZ_236794,-122.26004,37.87378
Elgaria,MVZ_236794,-122.26004,37.87378
Elgaria,MVZ_236794,-122.26004,37.87378
Elgaria,MVZ_236794,-122.26004,37.87378
Elgaria,MVZ_236794,-122.26004,37.87378
Elgaria,MVZ_236794,-122.26004,37.87378
Elgaria,MVZ_243333,-120.35127,37.52911
Elgaria,MVZ_243333,-120.35127,37.52911
Elgaria,MVZ_243333,-120.35127,37.52911
Elgaria,MVZ_243333,-120.35127,37.52911
Elgaria,MVZ_243333,-120.35127,37.52911
Elgaria,MVZ_243333,-120.35127,37.52911
Elgaria,MVZ_240844,-119.6521,37.7243
Elgaria,MVZ_240844,-119.6521,37.7243
Elgaria,MVZ_240844,-119.6521,37.7243
Elgaria,MVZ_240844,-119.6521,37.7243
Elgaria,MVZ_240844,-119.6521,37.7243
Elgaria,MVZ_240844,-119.6521,37.7243
Elgaria,MVZ_245565,-119.75067,37.70265
Elgaria,MVZ_245565,-119.75067,37.70265
Elgaria,MVZ_245565,-119.75067,37.70265
Elgaria,MVZ_245565,-119.75067,37.70265
Elgaria,MVZ_245565,-119.75067,37.70265
Elgaria,MVZ_245565,-119.75067,37.70265
Elgaria,CAS_212986,-119.3206111,37.3925
Elgaria,CAS_212986,-119.3206111,37.3925
Elgaria,CAS_212986,-119.3206111,37.3925
Elgaria,CAS_212986,-119.3206111,37.3925
Elgaria,CAS_212986,-119.3206111,37.3925
Elgaria,CAS_212986,-119.3206111,37.3925
Elgaria,CAS_224870,-118.9468778,36.64057778
Elgaria,CAS_224870,-118.9468778,36.64057778
Elgaria,CAS_224870,-118.9468778,36.64057778
Elgaria,CAS_224870,-118.9468778,36.64057778
Elgaria,CAS_224870,-118.9468778,36.64057778
Elgaria,CAS_224870,-118.9468778,36.64057778
Elgaria,LACM_TC_2996,-118.21638,37.39965
Elgaria,LACM_TC_2996,-118.21638,37.39965
Elgaria,LACM_TC_2996,-118.21638,37.39965
Elgaria,LACM_TC_2996,-118.21638,37.39965
Elgaria,LACM_TC_2996,-118.21638,37.39965
Elgaria,LACM_TC_2996,-118.21638,37.39965
Elgaria,RF_003TY1197,-116.7770167,34.1243
Elgaria,RF_003TY1197,-116.7770167,34.1243
Elgaria,RF_003TY1197,-116.7770167,34.1243
Elgaria,RF_003TY1197,-116.7770167,34.1243
Elgaria,RF_003TY1197,-116.7770167,34.1243
Elgaria,RF_003TY1197,-116.7770167,34.1243
Elgaria,RF_003TY1480,-116.907,34.2893
Elgaria,RF_003TY1480,-116.907,34.2893
Elgaria,RF_003TY1480,-116.907,34.2893
Elgaria,RF_003TY1480,-116.907,34.2893
Elgaria,RF_003TY1480,-116.907,34.2893
Elgaria,RF_003TY1480,-116.907,34.2893
Elgaria,RF_003TY1203,-118.802,36.407
Elgaria,RF_003TY1203,-118.802,36.407
Elgaria,RF_003TY1203,-118.802,36.407
Elgaria,RF_003TY1203,-118.802,36.407
Elgaria,RF_003TY1203,-118.802,36.407
Elgaria,RF_003TY1203,-118.802,36.407
Elgaria,RF_003TY1184,-116.50847,32.9839
Elgaria,RF_003TY1184,-116.50847,32.9839
Elgaria,RF_003TY1184,-116.50847,32.9839
Elgaria,RF_003TY1184,-116.50847,32.9839
Elgaria,RF_003TY1184,-116.50847,32.9839
Elgaria,RF_003TY1184,-116.50847,32.9839
Elgaria,RF_003TY1678,-116.457,33.0969
Elgaria,RF_003TY1678,-116.457,33.0969
Elgaria,RF_003TY1678,-116.457,33.0969
Elgaria,RF_003TY1678,-116.457,33.0969
Elgaria,RF_003TY1678,-116.457,33.0969
Elgaria,RF_003TY1678,-116.457,33.0969
Elgaria,RF_003TY1694,-117.109,32.5391
Elgaria,RF_003TY1694,-117.109,32.5391
Elgaria,RF_003TY1694,-117.109,32.5391
Elgaria,RF_003TY1694,-117.109,32.5391
Elgaria,RF_003TY1694,-117.109,32.5391
Elgaria,RF_003TY1694,-117.109,32.5391
Elgaria,RF_003TY1528,-117.038,32.6433
Elgaria,RF_003TY1528,-117.038,32.6433
Elgaria,RF_003TY1528,-117.038,32.6433
Elgaria,RF_003TY1528,-117.038,32.6433
Elgaria,RF_003TY1528,-117.038,32.6433
Elgaria,RF_003TY1528,-117.038,32.6433
Elgaria,RF_003TY1638,-116.896,32.7265
Elgaria,RF_003TY1638,-116.896,32.7265
Elgaria,RF_003TY1638,-116.896,32.7265
Elgaria,RF_003TY1638,-116.896,32.7265
Elgaria,RF_003TY1638,-116.896,32.7265
Elgaria,RF_003TY1638,-116.896,32.7265
Elgaria,RF_003TY1563,-116.872,32.8409
Elgaria,RF_003TY1563,-116.872,32.8409
Elgaria,RF_003TY1563,-116.872,32.8409
Elgaria,RF_003TY1563,-116.872,32.8409
Elgaria,RF_003TY1563,-116.872,32.8409
Elgaria,RF_003TY1563,-116.872,32.8409
Elgaria,RF_003TY1579,-117.043,32.8158
Elgaria,RF_003TY1579,-117.043,32.8158
Elgaria,RF_003TY1579,-117.043,32.8158
Elgaria,RF_003TY1579,-117.043,32.8158
Elgaria,RF_003TY1579,-117.043,32.8158
Elgaria,RF_003TY1579,-117.043,32.8158
Elgaria,RF_003TY1727,-116.983,33.0952
Elgaria,RF_003TY1727,-116.983,33.0952
Elgaria,RF_003TY1727,-116.983,33.0952
Elgaria,RF_003TY1727,-116.983,33.0952
Elgaria,RF_003TY1727,-116.983,33.0952
Elgaria,RF_003TY1727,-116.983,33.0952
Elgaria,RF_003TY1836,-117.445,33.8289
Elgaria,RF_003TY1836,-117.445,33.8289
Elgaria,RF_003TY1836,-117.445,33.8289
Elgaria,RF_003TY1836,-117.445,33.8289
Elgaria,RF_003TY1836,-117.445,33.8289
Elgaria,RF_003TY1836,-117.445,33.8289
Elgaria,RF_003TY1196,-117.7268167,34.3552
